geometry,criterion,winner_branch_switches,first_switch_beta
cubic,q_only,10,0.25
cubic,score_iso,7,0.25
cubic,score_q,10,0.25
cubic,xyz_only,10,0.25
ortho_1.05_1.20,q_only,2,1.5
ortho_1.05_1.20,score_iso,2,1.5
ortho_1.05_1.20,score_q,2,1.5
ortho_1.05_1.20,xyz_only,2,1.0
ortho_1.10_1.30,q_only,3,0.25
ortho_1.10_1.30,score_iso,2,1.0
ortho_1.10_1.30,score_q,3,1.5
ortho_1.10_1.30,xyz_only,3,1.0
ortho_1.20_1.50,q_only,6,0.25
ortho_1.20_1.50,score_iso,1,3.0
ortho_1.20_1.50,score_q,3,0.25
ortho_1.20_1.50,xyz_only,2,0.25
tet_1.05,q_only,7,1.5
tet_1.05,score_iso,2,3.0
tet_1.05,score_q,4,1.5
tet_1.05,xyz_only,4,0.25
tet_1.10,q_only,6,1.5
tet_1.10,score_iso,1,4.0
tet_1.10,score_q,4,1.5
tet_1.10,xyz_only,3,0.25
tet_1.20,q_only,9,0.75
tet_1.20,score_iso,2,3.0
tet_1.20,score_q,6,1.5
tet_1.20,xyz_only,5,0.25
tet_1.35,q_only,6,1.5
tet_1.35,score_iso,1,4.0
tet_1.35,score_q,1,1.5
tet_1.35,xyz_only,3,0.25
tet_1.50,q_only,6,1.5
tet_1.50,score_iso,4,1.5
tet_1.50,score_q,3,1.5
tet_1.50,xyz_only,3,1.0
