null_type,beta,family_match_real,q_match_real,surrogate_consensus_strength,surrogate_q_consensus_strength,surrogate_mean_winner_q_contrast,surrogate_mean_winner_xyz,real_mean_winner_q_contrast,real_mean_winner_xyz
cell_shuffle,0.0,0.25,0.09259259259259259,1.0,1.0,0.11920255277532019,0.00011271220073669383,0.15139921439940932,0.00011271220073669384
cell_shuffle,1.0,0.2222222222222222,0.041666666666666664,0.7002314814814815,0.6585648148148148,0.11532743234823892,5.020192708105326e-05,0.11510231521673796,5.0774210754151136e-05
cell_shuffle,1.5,0.19907407407407407,0.09722222222222222,0.6990740740740741,0.6516203703703703,0.12055422217703723,5.836929320778599e-05,0.11138568177309963,5.962503242453687e-05
cell_shuffle,2.0,0.09722222222222222,0.10185185185185185,0.6458333333333334,0.5844907407407407,0.11064724222823194,8.095815891085405e-05,0.10557677580933288,8.205703002022547e-05
cell_shuffle,5.0,0.09722222222222222,0.09259259259259259,0.6782407407407407,0.6238425925925926,0.12569033893790943,0.00018498113082337782,0.1421225043022837,0.00018042154796294246
cell_shuffle,10.0,0.14351851851851852,0.09722222222222222,0.6539351851851852,0.6030092592592593,0.13370485250525072,0.00030522613990022614,0.17193403387163753,0.00030793542840268725
fft_phase,0.0,1.0,1.0,1.0,1.0,0.15139921439940932,0.00011415148866624592,0.15139921439940932,0.00011271220073669384
fft_phase,1.0,0.8888888888888888,0.7777777777777778,0.9166666666666666,0.8888888888888888,0.1104272636949216,9.674845330713364e-05,0.11510231521673796,5.0774210754151136e-05
fft_phase,1.5,0.7083333333333334,0.6712962962962963,0.6365740740740741,0.5821759259259259,0.09928019270057419,9.546739446691836e-05,0.11138568177309963,5.962503242453687e-05
fft_phase,2.0,0.8472222222222222,0.8472222222222222,0.6724537037037037,0.6724537037037037,0.09485887739784417,0.0001360504711662615,0.10557677580933288,8.205703002022547e-05
fft_phase,5.0,0.9305555555555556,0.7546296296296297,0.7731481481481481,0.6759259259259259,0.1392225984173661,0.0002496707398204639,0.1421225043022837,0.00018042154796294246
fft_phase,10.0,0.8287037037037037,0.6851851851851852,0.6990740740740741,0.6469907407407407,0.17196277691486564,0.00036151550821231915,0.17193403387163753,0.00030793542840268725
shell_shuffle,0.0,1.0,0.3333333333333333,1.0,1.0,0.17355540441741604,0.00011271220073669383,0.15139921439940932,0.00011271220073669384
shell_shuffle,1.0,0.6898148148148148,0.2361111111111111,0.7638888888888888,0.6863425925925926,0.12376211293453672,5.078991677934484e-05,0.11510231521673796,5.0774210754151136e-05
shell_shuffle,1.5,0.2916666666666667,0.06481481481481481,0.7060185185185185,0.6516203703703703,0.11933812771040522,5.7682191801570436e-05,0.11138568177309963,5.962503242453687e-05
shell_shuffle,2.0,0.046296296296296294,0.0787037037037037,0.6145833333333334,0.5648148148148148,0.10868047326748244,8.061340124863929e-05,0.10557677580933288,8.205703002022547e-05
shell_shuffle,5.0,0.21296296296296297,0.16203703703703703,0.6875,0.6365740740740741,0.12893838434640564,0.00018540088538783226,0.1421225043022837,0.00018042154796294246
shell_shuffle,10.0,0.16203703703703703,0.1111111111111111,0.6840277777777778,0.6365740740740741,0.14096237295704414,0.0003120304164010094,0.17193403387163753,0.00030793542840268725
