geometry,beta,consensus_family,support_degree,pred_support_degree,correct,distance
cubic,0.0,"1-axis:(1,)",1,1,True,2.7248131769302883
cubic,1.0,"1-axis:(1,)",1,3,False,4.13378429778472
cubic,1.5,"3-axis:(1, 1, 1)",3,3,True,2.865826379205956
cubic,2.0,"3-axis:(1, 2, 2)",3,3,True,2.453800206222268
cubic,5.0,"3-axis:(1, 1, 1)",3,3,True,1.384376121220388
cubic,10.0,"3-axis:(1, 1, 2)",3,3,True,0.9553063467487293
ortho_1.05_1.20,0.0,"1-axis:(1,)",1,1,True,2.3665461967902184
ortho_1.05_1.20,1.0,"1-axis:(1,)",1,1,True,4.938644714974097
ortho_1.05_1.20,1.5,"2-axis:(1, 1)",2,2,True,0.058426539124601315
ortho_1.05_1.20,2.0,"3-axis:(1, 1, 1)",3,2,False,0.27897991674957323
ortho_1.05_1.20,5.0,"3-axis:(1, 2, 2)",3,3,True,1.647765934469092
ortho_1.05_1.20,10.0,"3-axis:(1, 1, 2)",3,3,True,1.1070979739448337
ortho_1.10_1.30,0.0,"1-axis:(1,)",1,1,True,1.9999742444929731
ortho_1.10_1.30,1.0,"1-axis:(1,)",1,1,True,5.77429935743465
ortho_1.10_1.30,1.5,"2-axis:(1, 1)",2,2,True,0.10224015935121411
ortho_1.10_1.30,2.0,"3-axis:(1, 1, 2)",3,3,True,1.01436671955417
ortho_1.10_1.30,5.0,"3-axis:(1, 1, 2)",3,3,True,2.293283930999918
ortho_1.10_1.30,10.0,"3-axis:(1, 1, 1)",3,3,True,0.717544848596648
ortho_1.20_1.50,0.0,"1-axis:(1,)",1,2,False,1.6696666637362438
ortho_1.20_1.50,1.0,"1-axis:(1,)",1,3,False,4.389164219204608
ortho_1.20_1.50,1.5,"3-axis:(1, 1, 1)",3,3,True,1.933290340343704
ortho_1.20_1.50,2.0,"3-axis:(1, 1, 2)",3,3,True,0.5696674043834502
ortho_1.20_1.50,5.0,"3-axis:(1, 1, 1)",3,3,True,1.5328218103178108
ortho_1.20_1.50,10.0,"3-axis:(1, 1, 2)",3,3,True,0.7022336051345405
tet_1.05,0.0,"1-axis:(1,)",1,1,True,2.6738682247611267
tet_1.05,1.0,"1-axis:(1,)",1,1,True,4.706806308169352
tet_1.05,1.5,"3-axis:(1, 1, 2)",3,2,False,0.08238091475250958
tet_1.05,2.0,"3-axis:(1, 1, 1)",3,3,True,1.266723531836874
tet_1.05,5.0,"3-axis:(1, 1, 2)",3,3,True,1.5728659707304538
tet_1.05,10.0,"3-axis:(1, 1, 1)",3,3,True,0.7154838911068355
tet_1.10,0.0,"1-axis:(1,)",1,1,True,2.454013332584281
tet_1.10,1.0,"1-axis:(1,)",1,1,True,5.568207980365115
tet_1.10,1.5,"2-axis:(1, 2)",2,2,True,0.28863489348983834
tet_1.10,2.0,"3-axis:(1, 1, 2)",3,2,False,0.10320253190112377
tet_1.10,5.0,"3-axis:(1, 1, 2)",3,3,True,0.6941750545891576
tet_1.10,10.0,"3-axis:(1, 1, 2)",3,3,True,0.6816875627340268
tet_1.20,0.0,"1-axis:(1,)",1,1,True,2.3381615842256296
tet_1.20,1.0,"1-axis:(1,)",1,1,True,4.102016434327611
tet_1.20,1.5,"1-axis:(1,)",1,2,False,0.03608136506022783
tet_1.20,2.0,"3-axis:(1, 1, 2)",3,2,False,0.1747212568422859
tet_1.20,5.0,"3-axis:(1, 1, 2)",3,3,True,1.0781776064686106
tet_1.20,10.0,"3-axis:(1, 1, 2)",3,3,True,0.7176555248196974
tet_1.35,0.0,"1-axis:(1,)",1,1,True,2.262762453439077
tet_1.35,1.0,"1-axis:(1,)",1,1,True,2.790128554320802
tet_1.35,1.5,"2-axis:(1, 2)",2,2,True,0.7175135349196887
tet_1.35,2.0,"3-axis:(1, 2, 2)",3,3,True,1.5535778692899767
tet_1.35,5.0,"3-axis:(1, 1, 1)",3,3,True,1.1724846362731847
tet_1.35,10.0,"3-axis:(1, 1, 2)",3,3,True,0.5898800576302938
tet_1.50,0.0,"1-axis:(1,)",1,1,True,2.1797107681906915
tet_1.50,1.0,"1-axis:(1,)",1,1,True,2.655900449117107
tet_1.50,1.5,"3-axis:(1, 1, 1)",3,3,True,1.4051529506286327
tet_1.50,2.0,"3-axis:(1, 1, 1)",3,3,True,1.184192769411443
tet_1.50,5.0,"3-axis:(1, 1, 2)",3,3,True,0.8256931713314156
tet_1.50,10.0,"3-axis:(1, 1, 2)",3,3,True,0.5501504914982833
