k,features,loocv_r2,mae
2,E_opp|F_opp,0.29253851807841813,0.12627224998072487
3,C_opp|E_opp|F_opp,0.2921215884855014,0.1246258308363248
2,C_opp|F_opp,0.2846093462392302,0.12552189493763025
3,E_opp|F_opp|L_align,0.2804733121935903,0.12357729679858181
3,E_opp|F_opp|EF_inc,0.2720364269764832,0.1286215402183393
4,C_opp|E_opp|F_opp|EF_inc,0.2698140487484606,0.1273117284441844
4,C_opp|E_opp|F_opp|L_align,0.26695622735163926,0.12418285722357686
3,C_opp|F_opp|EF_inc,0.2663064136345501,0.12769608297174584
4,E_opp|F_opp|EF_inc|L_align,0.2632895851943956,0.126492819922394
3,E_opp|F_opp|CE_inc,0.2627560477367339,0.12912719396141534
3,E_opp|F_opp|CF_inc,0.2603991943195272,0.12897877977460992
4,C_opp|E_opp|F_opp|CE_inc,0.2597741675704861,0.12795102927082588
4,E_opp|F_opp|CE_inc|L_align,0.2572657988034346,0.12679002618233626
3,C_opp|F_opp|CE_inc,0.2560736937205924,0.12833342178198004
4,C_opp|E_opp|F_opp|CF_inc,0.2540075305424354,0.12768738576835495
3,C_opp|F_opp|L_align,0.25383718082285134,0.12698659116509003
4,E_opp|F_opp|CE_inc|CF_inc,0.2499635246455264,0.13099627851321677
4,E_opp|F_opp|CF_inc|L_align,0.24655541626341582,0.12632586709564375
3,C_opp|F_opp|CF_inc,0.24236952990433558,0.12861680854879223
4,E_opp|F_opp|EF_inc|CF_inc,0.2383164703454479,0.131373191736724
4,C_opp|F_opp|EF_inc|L_align,0.23788586238171616,0.13056016200703338
4,C_opp|F_opp|CE_inc|L_align,0.2329444296720833,0.13041152516907403
4,C_opp|F_opp|CE_inc|CF_inc,0.2185644245028464,0.13110896860403004
4,C_opp|F_opp|CF_inc|L_align,0.21255984047512888,0.13016581983390896
4,C_opp|F_opp|EF_inc|CF_inc,0.21156939754645565,0.13102963318588703
4,E_opp|F_opp|CE_inc|EF_inc,0.2085471313026349,0.13247472668653115
4,C_opp|F_opp|CE_inc|EF_inc,0.19492195448209082,0.13169730671732977
2,E_opp|L_align,0.12980299394873163,0.14680103378129697
1,C_opp,0.12586962831410808,0.15071584620423764
1,E_opp,0.1243730963564047,0.14933756367219486
2,C_opp|L_align,0.12240957482359127,0.14869371543218768
3,E_opp|CE_inc|L_align,0.11317764099389227,0.14733996970444346
3,E_opp|EF_inc|L_align,0.11259798488608908,0.1486340173251097
3,C_opp|CE_inc|L_align,0.10744407084717178,0.14851962326396856
3,C_opp|EF_inc|L_align,0.10550654313802443,0.15033836694002264
2,C_opp|EF_inc,0.0993381877509848,0.1533112268195098
2,E_opp|EF_inc,0.09817430681271977,0.15193470763856953
3,E_opp|CF_inc|L_align,0.09797095372639364,0.14981549541661363
3,C_opp|E_opp|L_align,0.09662430469550876,0.1492508557369043
2,C_opp|CE_inc,0.0948058848956077,0.15298022084154977
2,E_opp|CE_inc,0.09335936474331907,0.15181780596972633
2,C_opp|E_opp,0.0918638427828089,0.15290579196069892
4,E_opp|CE_inc|CF_inc|L_align,0.09067533338308853,0.14962418634822505
3,C_opp|CF_inc|L_align,0.0904682292486596,0.15161000200644703
2,E_opp|CF_inc,0.08947010863789506,0.1525742278473311
2,C_opp|CF_inc,0.08894729645659205,0.1541199416356488
2,CE_inc|L_align,0.08574070167643455,0.15181318143597095
4,C_opp|CE_inc|CF_inc|L_align,0.08055000907572796,0.151029495384674
4,C_opp|E_opp|CE_inc|L_align,0.07977529147140416,0.1499167735107272
4,C_opp|E_opp|EF_inc|L_align,0.07793137263485683,0.15137255250068585
