criterion,beta,neck_floor_exceed_mean,neck_floor_z_mean,neck_mid_ratio_exceed_mean,neck_mid_ratio_z_mean,axiality_ratio_exceed_mean,axiality_ratio_z_mean,continuity_frac_exceed_mean,continuity_frac_z_mean,bridge_span_ratio_exceed_mean,bridge_span_ratio_z_mean,straightness_exceed_mean,straightness_z_mean
score_q,0.0,0.6203703703703705,0.6227890954205244,0.5,-0.29615069465523275,0.7037037037037037,0.2279992277263121,0.0,0.0,0.0,0.0,0.2962962962962963,-0.4850960957090807
score_q,1.0,0.5574074074074075,-0.013430621953262278,0.4666666666666667,-0.4805719995633591,0.6277777777777778,0.14444719469889955,0.01851851851851852,-0.07560304696563509,0.005555555555555556,-0.10460432307538711,0.4018518518518518,-0.4824006333733355
score_q,1.5,0.6592592592592593,0.7164109377585621,0.4564814814814815,0.027910594550631926,0.6509259259259259,0.3624963388203875,0.23888888888888887,0.05267302264929555,0.17777777777777778,-0.370042498139475,0.5444444444444445,0.40744096563574206
score_q,2.0,0.6388888888888888,0.7122736328293021,0.4305555555555555,-0.01193637094750054,0.664814814814815,0.3747592320804825,0.25,-0.06067304050896524,0.20555555555555555,-0.30706650938626656,0.5472222222222223,0.35605976317360266
score_q,5.0,0.5370370370370371,0.08201334493855926,0.25925925925925924,-0.6503816254428256,0.6666666666666666,0.38770526055632454,0.12962962962962965,-0.9914427880228556,0.13888888888888892,-0.8762420183874736,0.4907407407407407,-0.18567365474109446
score_q,10.0,0.3888888888888889,-0.5187395784537535,0.09259259259259259,-0.9107903653473746,0.6296296296296297,0.26859984875390114,0.1111111111111111,-1.757115538879413,0.1111111111111111,-2.057345413955333,0.462962962962963,-0.2824883548181829
score_iso,0.0,0.6203703703703705,0.6227890954205244,0.5,-0.29615069465523275,0.7037037037037037,0.2279992277263121,0.0,0.0,0.0,0.0,0.2962962962962963,-0.4850960957090807
score_iso,1.0,0.5925925925925926,0.1297620661934686,0.48148148148148145,-0.4813458767314038,0.6111111111111112,0.0839608205017618,0.0,0.0,0.0,0.0,0.3703703703703704,-0.5168257420349883
score_iso,1.5,0.625,0.023351256078607743,0.32407407407407407,-0.9646255770735928,0.3472222222222222,-0.662426000939838,0.05555555555555555,0.11111111111033328,0.05555555555555555,0.10891067320175152,0.3564814814814815,-0.7789998191036971
score_iso,2.0,0.6759259259259259,0.36363939340515844,0.45370370370370366,-0.10721809643680895,0.7407407407407408,0.519761617438388,0.0,0.0,0.0,0.0,0.45370370370370366,-0.11070535320275561
score_iso,5.0,0.5555555555555556,-0.286331079258342,0.2916666666666667,-0.7302617698291004,0.7175925925925926,0.5863014561727594,0.20833333333333334,-1.5791807355614447,0.20833333333333334,-3.9949364894369412,0.34722222222222227,-0.6567225546555255
score_iso,10.0,0.5833333333333334,-0.32220264668427673,0.2222222222222222,-0.821957490387602,0.712962962962963,0.5926576593686801,0.2222222222222222,-1.5666623072705685,0.2222222222222222,-4.006938426661157,0.2962962962962963,-0.89430248046137
q_only,0.0,0.6203703703703705,0.6227890954205244,0.5,-0.29615069465523275,0.7037037037037037,0.2279992277263121,0.0,0.0,0.0,0.0,0.2962962962962963,-0.4850960957090807
q_only,1.0,0.7444444444444445,0.6150609879078409,0.36759259259259264,-0.5614628232226317,0.7407407407407408,0.8074899896875212,0.0462962962962963,0.003563138416248208,0.05092592592592593,-0.019336845975680153,0.4,-0.1622781438235304
q_only,1.5,0.6185185185185186,0.38899708054746224,0.4388888888888889,-0.015956321953327943,0.5592592592592593,0.004727178890440202,0.07777777777777778,-0.4708873741923958,0.05925925925925926,-0.8083890281147781,0.5740740740740741,0.6313501969503014
q_only,2.0,0.6333333333333333,0.6930166764372172,0.4037037037037037,-0.2016239782756747,0.6268518518518519,0.26462070743370236,0.19814814814814813,-0.48139357618228673,0.1851851851851852,-0.5930096005874123,0.5981481481481482,0.52953095559718
q_only,5.0,0.48148148148148145,-0.20513716420895423,0.2037037037037037,-0.5450823132332049,0.7259259259259259,0.5630104456975603,0.16481481481481483,-0.7190302394393344,0.07037037037037036,-1.2427526492577936,0.4148148148148148,-0.3186413879395858
q_only,10.0,0.4740740740740741,-0.2054846240274725,0.1685185185185185,-0.7425144538856184,0.5907407407407408,0.14315143439477243,0.013888888888888888,-1.6162800220718427,0.004629629629629629,-1.5488765415906873,0.6166666666666667,0.32741971329916064
xyz_only,0.0,0.6203703703703705,0.6227890954205244,0.5,-0.29615069465523275,0.7037037037037037,0.2279992277263121,0.0,0.0,0.0,0.0,0.2962962962962963,-0.4850960957090807
xyz_only,1.0,0.5,-0.17561899495826216,0.46851851851851856,-0.5231840928151452,0.5444444444444445,-0.1774919011400199,0.012962962962962963,-0.10109368406154577,0.0,-0.1300949601712978,0.39814814814814814,-0.5402578537478222
xyz_only,1.5,0.5722222222222223,-0.03986795058301104,0.3055555555555555,-1.0073010368962798,0.31481481481481477,-0.7813512859514609,0.04444444444444444,-0.045468468378324044,0.037037037037037035,-0.058588122839845255,0.3074074074074074,-1.0195041052055207
xyz_only,2.0,0.5462962962962963,0.15056496120615112,0.39814814814814814,-0.07968970887999169,0.8129629629629629,0.675323733514397,0.046296296296296294,-0.621279836825914,0.03888888888888889,-0.4086159598791666,0.5425925925925925,0.16029456197998243
xyz_only,5.0,0.4444444444444444,-0.3505239297227827,0.24629629629629626,-0.7405469773692676,0.638888888888889,0.2815367398117985,0.17592592592592593,-0.5738201575107144,0.1851851851851852,-0.6667657108031313,0.42407407407407405,-0.42881712170291775
xyz_only,10.0,0.35185185185185186,-0.6361032073378546,0.11666666666666664,-0.8508093252033975,0.637037037037037,0.1850792537068513,0.2314814814814815,-0.5613530541208922,0.2314814814814815,-0.7150566304805387,0.3814814814814815,-0.5981575885333215
