y,screen_intensity,blocked_intensity
-0.36,0.0,0.0
-0.3497142857142857,2.471385390129799e-10,5.067659542122379e-12
-0.3394285714285714,9.340000058717212e-10,1.9634673472466716e-11
-0.3291428571428571,1.9100562392851713e-09,4.1900289131186015e-11
-0.31885714285714284,2.9645303576031927e-09,6.919636300999541e-11
-0.30857142857142855,3.8751587869692345e-09,9.841208144611504e-11
-0.29828571428571427,4.4576626592265364e-09,1.2646136649384466e-10
-0.288,4.604108004584455e-09,1.507042843106152e-10
-0.2777142857142857,4.301815642225044e-09,1.6924896012093782e-10
-0.2674285714285714,3.6298829519278267e-09,1.8109190566470047e-10
-0.2571428571428571,2.7359723491673562e-09,1.8609467724438558e-10
-0.24685714285714283,1.800568474521044e-09,1.8483041769023647e-10
-0.23657142857142857,9.983086453521162e-10,1.7835404501037686e-10
-0.22628571428571428,4.6545560116307096e-10,1.6795371306618238e-10
-0.216,2.7977687557069396e-10,1.549316587173327e-10
-0.2057142857142857,4.551915432116604e-10,1.404443145627395e-10
-0.19542857142857142,9.49718471810536e-10,1.2541145308097006e-10
-0.18514285714285714,1.682504191087413e-09,1.1048798017320676e-10
-0.17485714285714285,2.5545356684058485e-09,9.608296664372719e-11
-0.16457142857142856,3.468026301301987e-09,8.240855643289159e-11
-0.15428571428571428,4.340953233241134e-09,6.954403225858767e-11
-0.144,5.115172717329911e-09,5.750416780383225e-11
-0.1337142857142857,5.758334976694297e-09,4.6303430294708335e-11
-0.12342857142857142,6.2610513641267555e-09,3.600784578088176e-11
-0.11314285714285716,6.631292245635506e-09,2.6765580928821703e-11
-0.10285714285714287,6.8879041814005e-09,1.8807812384839658e-11
-0.09257142857142858,7.054656830692323e-09,1.2415260837187889e-11
-0.0822857142857143,7.155618556637628e-09,7.853345752755788e-12
-0.07200000000000001,7.2121143016142905e-09,5.2886579113307025e-12
-0.06171428571428572,7.241144949560984e-09,4.708055781859995e-12
-0.051428571428571435,7.254959028566036e-09,5.865440823093274e-12
-0.04114285714285715,7.261421562051362e-09,8.277587410371486e-12
-0.03085714285714286,7.2648575073605055e-09,1.1279157043347179e-11
-0.020571428571428574,7.267104979221814e-09,1.4130899314608045e-11
-0.010285714285714287,7.2685669976400534e-09,1.6158837974712927e-11
0.0,7.269093706566781e-09,1.6891291233363214e-11
0.010285714285714287,7.268566997640038e-09,1.615883797471283e-11
0.020571428571428574,7.267104979221777e-09,1.4130899314607936e-11
0.03085714285714286,7.2648575073604575e-09,1.1279157043347185e-11
0.04114285714285715,7.261421562051307e-09,8.277587410371755e-12
0.051428571428571435,7.2549590285659856e-09,5.8654408230938606e-12
0.06171428571428572,7.241144949560933e-09,4.708055781860881e-12
0.07200000000000001,7.212114301614249e-09,5.288657911331729e-12
0.0822857142857143,7.155618556637607e-09,7.853345752756686e-12
0.09257142857142858,7.054656830692321e-09,1.2415260837188328e-11
0.10285714285714287,6.8879041814005315e-09,1.8807812384839274e-11
0.11314285714285716,6.6312922456355615e-09,2.6765580928820162e-11
0.12342857142857144,6.261051364126843e-09,3.600784578087887e-11
0.13371428571428567,5.758334976694406e-09,4.6303430294703954e-11
0.14400000000000002,5.115172717330032e-09,5.750416780382643e-11
0.15428571428571425,4.340953233241251e-09,6.954403225858055e-11
0.1645714285714286,3.4680263013020937e-09,8.240855643288341e-11
0.17485714285714282,2.5545356684059354e-09,9.608296664371835e-11
0.18514285714285716,1.6825041910874753e-09,1.1048798017319781e-10
0.1954285714285714,9.497184718105723e-10,1.2541145308096174e-10
0.20571428571428574,4.5519154321167255e-10,1.4044431456273203e-10
0.21599999999999997,2.7977687557069044e-10,1.549316587173267e-10
0.2262857142857143,4.6545560116306175e-10,1.6795371306617814e-10
0.23657142857142854,9.98308645352111e-10,1.7835404501037461e-10
0.24685714285714289,1.8005684745210499e-09,1.8483041769023641e-10
0.2571428571428571,2.7359723491673773e-09,1.8609467724438757e-10
0.26742857142857146,3.629882951927862e-09,1.810919056647045e-10
0.2777142857142857,4.301815642225092e-09,1.69248960120943e-10
0.28800000000000003,4.6041080045845045e-09,1.5070428431062103e-10
0.29828571428571427,4.457662659226587e-09,1.2646136649385053e-10
0.3085714285714285,3.87515878696928e-09,9.841208144612025e-11
0.31885714285714284,2.964530357603226e-09,6.919636300999939e-11
0.32914285714285707,1.9100562392851924e-09,4.190028913118856e-11
0.3394285714285714,9.340000058717315e-10,1.963467347246794e-11
0.34971428571428564,2.471385390129827e-10,5.067659542122707e-12
0.36,0.0,0.0
