sigma_phase,empirical_visibility_sigma_only,empirical_formula_pred,pure_phase_visibility,pure_phase_formula_refit,pure_magnitude_visibility,pure_magnitude_formula_refit,mixed_local_visibility,mixed_local_formula_refit,mixed_segmented_visibility,mixed_segmented_formula_refit
0.0,0.9755773722026372,1.009405,0.9999999999999999,1.0,0.9999999999999999,0.9998856454989554,0.9999999999999999,1.0143946758562754,1.0,1.0143005236783018
0.3,0.9566892224436008,0.941661922956646,0.9839305142725085,0.9839305142725084,0.9541822045947971,0.9542381184109093,0.9519397824114745,0.9458753180617825,0.9522157947750456,0.9459404551151821
0.6,0.8910843221580669,0.8494663147814218,0.9372548956126778,0.9372548956126777,0.9115703698220967,0.9116669871259494,0.8637254247354611,0.852326993821903,0.8643739305429191,0.8527972065354052
0.9,0.7336580129476749,0.741001194519263,0.864330552009586,0.8643305520095861,0.871881773567911,0.8719442863690393,0.7497843554438838,0.7422052317426523,0.7511958433233977,0.7432117358348773
1.2,0.5389137990198689,0.6250478253267026,0.7716686738745262,0.7716686738745262,0.8348627234104318,0.8348612116899237,0.6252921897256462,0.6245787407505274,0.6259265653130445,0.6261295038682904
1.5,0.66406344278729,0.5098344561959547,0.6669768108584744,0.6669768108584745,0.8002852175666296,0.8002263938152006,0.5033585249459438,0.507920571034561,0.5042166288020846,0.5099183003376787
1.8,0.2882949462728831,0.4021302203291066,0.5581095554166826,0.5581095554166826,0.7679440261765758,0.7678643403096483,0.39334371981446703,0.39916258371411495,0.39558088494790594,0.4014411133697502
2.1,0.2920432145647627,0.3067085160152565,0.4521234576730828,0.45212345767308293,0.737654135908412,0.7376140274497758,0.3004169239251713,0.30314420183354646,0.30472504820976964,0.30551175037804945
2.4,0.3375397802099745,0.2262072664862428,0.35458754856089897,0.35458754856089897,0.7092485091085377,0.7093276270537879,0.22608342406066312,0.22248161329678073,0.22753483828820215,0.22475988874526054
